epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1306.56,0.93384,0.58332,1.06284,0.8566,0.80709,0.8655,0.58857,1.15443,0.7096,1.19674,0.0005941,0.0005941,0.0005941
43,1337.27,0.93146,0.57659,1.06014,0.83325,0.80178,0.85018,0.58184,1.15255,0.7498,1.20665,0.0005842,0.0005842,0.0005842
44,1367.91,0.91354,0.57629,1.05915,0.85221,0.8015,0.85641,0.57912,1.16638,0.71492,1.21043,0.0005743,0.0005743,0.0005743
45,1398.6,0.90445,0.56934,1.0536,0.85747,0.78706,0.8538,0.58023,1.14988,0.73338,1.19722,0.0005644,0.0005644,0.0005644
46,1429.36,0.90118,0.56577,1.05259,0.86232,0.79054,0.86439,0.59105,1.15976,0.71598,1.2049,0.0005545,0.0005545,0.0005545
47,1460.14,0.89658,0.55866,1.04862,0.84781,0.79329,0.85443,0.58192,1.16307,0.7258,1.19996,0.0005446,0.0005446,0.0005446
48,1490.73,0.89906,0.55449,1.04685,0.86591,0.79175,0.85195,0.58261,1.15658,0.70892,1.20994,0.0005347,0.0005347,0.0005347
49,1521.46,0.88891,0.55456,1.04547,0.86264,0.79947,0.85723,0.58176,1.15762,0.70498,1.20916,0.0005248,0.0005248,0.0005248
50,1552.2,0.88629,0.54908,1.04683,0.86598,0.78875,0.84938,0.57839,1.15742,0.72108,1.21217,0.0005149,0.0005149,0.0005149
51,1582.99,0.87564,0.54545,1.03824,0.85157,0.80482,0.85062,0.5768,1.15787,0.73207,1.20556,0.000505,0.000505,0.000505
52,1613.51,0.86945,0.54223,1.03871,0.84089,0.81628,0.8575,0.58644,1.17443,0.7214,1.21564,0.0004951,0.0004951,0.0004951
53,1644.29,0.8649,0.53846,1.03485,0.87525,0.79653,0.86804,0.59399,1.15443,0.70503,1.19819,0.0004852,0.0004852,0.0004852
54,1674.9,0.8547,0.53459,1.0283,0.85991,0.80314,0.85436,0.58437,1.16213,0.7066,1.21928,0.0004753,0.0004753,0.0004753
55,1705.51,0.85674,0.53194,1.03111,0.87231,0.7993,0.8587,0.58906,1.15308,0.71002,1.19841,0.0004654,0.0004654,0.0004654
56,1736.18,0.84646,0.52218,1.02407,0.85176,0.8123,0.85719,0.59185,1.15415,0.69993,1.20692,0.0004555,0.0004555,0.0004555
57,1766.7,0.83592,0.51672,1.02124,0.86618,0.80397,0.86385,0.59525,1.14287,0.70795,1.1985,0.0004456,0.0004456,0.0004456
