epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1404.95,0.96973,0.61077,1.07952,0.84388,0.81758,0.86212,0.61885,1.15609,0.73494,1.19387,0.000848969,0.000848969,0.000848969
43,1437.71,0.97218,0.6138,1.08205,0.85811,0.81474,0.86374,0.61973,1.16177,0.722,1.2003,0.000834822,0.000834822,0.000834822
44,1470.48,0.95174,0.60457,1.07528,0.86274,0.8141,0.86427,0.62045,1.15676,0.73131,1.19556,0.000820675,0.000820675,0.000820675
45,1503.13,0.94065,0.59799,1.06816,0.85723,0.81672,0.8644,0.6243,1.16754,0.71016,1.20437,0.000806528,0.000806528,0.000806528
46,1535.93,0.93686,0.59162,1.0694,0.85321,0.82953,0.86531,0.62757,1.15679,0.70691,1.19119,0.00079238,0.00079238,0.00079238
47,1568.66,0.93461,0.5953,1.06909,0.85673,0.80248,0.859,0.60691,1.20355,0.72693,1.22853,0.000778233,0.000778233,0.000778233
48,1601.34,0.92495,0.57987,1.06051,0.85807,0.80628,0.85931,0.61599,1.17181,0.72497,1.20199,0.000764086,0.000764086,0.000764086
49,1634.07,0.92643,0.58354,1.06405,0.85834,0.81222,0.8648,0.62428,1.15424,0.71748,1.19896,0.000749939,0.000749939,0.000749939
50,1666.71,0.91577,0.5745,1.05871,0.86033,0.81402,0.86536,0.62037,1.15457,0.71078,1.19076,0.000735792,0.000735792,0.000735792
51,1699.67,0.91592,0.57449,1.05383,0.85597,0.81535,0.86434,0.62325,1.15795,0.71126,1.19917,0.000721645,0.000721645,0.000721645
52,1732.28,0.90337,0.569,1.05171,0.85107,0.82069,0.86227,0.62573,1.15454,0.70793,1.19857,0.000707498,0.000707498,0.000707498
53,1764.95,0.89999,0.56558,1.05157,0.86238,0.81466,0.86405,0.62969,1.15687,0.71016,1.20522,0.000693351,0.000693351,0.000693351
54,1797.8,0.89253,0.56198,1.0454,0.86578,0.81198,0.86307,0.62488,1.14944,0.70783,1.1946,0.000679204,0.000679204,0.000679204
55,1830.33,0.88497,0.55335,1.04375,0.83727,0.84357,0.86942,0.63562,1.13316,0.68527,1.17763,0.000665057,0.000665057,0.000665057
56,1863.24,0.87934,0.54654,1.03643,0.83987,0.83833,0.86659,0.63308,1.13992,0.68769,1.20009,0.000650909,0.000650909,0.000650909
57,1895.98,0.87021,0.53848,1.03442,0.86678,0.8038,0.86057,0.62187,1.16663,0.7036,1.20305,0.000636762,0.000636762,0.000636762
58,1928.68,0.86631,0.54098,1.03618,0.86514,0.81989,0.86838,0.63283,1.14309,0.69608,1.19528,0.000622615,0.000622615,0.000622615
59,1961.35,0.86576,0.53763,1.03342,0.84021,0.83224,0.86266,0.62566,1.1445,0.71513,1.19154,0.000608468,0.000608468,0.000608468
60,1994.19,0.85933,0.5322,1.02811,0.84084,0.84346,0.87042,0.63387,1.14371,0.6895,1.19343,0.000594321,0.000594321,0.000594321
61,2026.91,0.84933,0.52576,1.02575,0.86112,0.82182,0.86773,0.63277,1.13996,0.69571,1.20069,0.000580174,0.000580174,0.000580174
62,2059.54,0.85006,0.52856,1.02681,0.86084,0.81401,0.86059,0.62629,1.14254,0.71615,1.19216,0.000566027,0.000566027,0.000566027
63,2092.29,0.84699,0.52415,1.02342,0.8599,0.82762,0.87044,0.6364,1.13216,0.68533,1.19151,0.00055188,0.00055188,0.00055188
64,2125.2,0.83892,0.52146,1.02214,0.85804,0.83285,0.87036,0.63167,1.15402,0.6944,1.19942,0.000537733,0.000537733,0.000537733
65,2157.9,0.83298,0.51919,1.0195,0.86005,0.83499,0.87309,0.63841,1.12239,0.68774,1.18848,0.000523586,0.000523586,0.000523586
66,2190.63,0.82166,0.50814,1.01285,0.86125,0.82696,0.86748,0.6304,1.14432,0.70167,1.1903,0.000509438,0.000509438,0.000509438
67,2223.25,0.8205,0.50344,1.01281,0.87306,0.82305,0.86582,0.62882,1.13762,0.69638,1.19752,0.000495291,0.000495291,0.000495291
68,2256.14,0.81373,0.49976,1.01019,0.8524,0.83703,0.86826,0.63797,1.11924,0.68929,1.19126,0.000481144,0.000481144,0.000481144
69,2288.9,0.80657,0.4979,1.00869,0.84526,0.83959,0.86486,0.63707,1.11865,0.69044,1.19638,0.000466997,0.000466997,0.000466997
70,2321.63,0.80628,0.49593,1.00741,0.86069,0.82948,0.86823,0.63823,1.11722,0.68664,1.17977,0.00045285,0.00045285,0.00045285
71,2354.33,0.806,0.49273,1.00832,0.85109,0.83215,0.86827,0.63656,1.12893,0.69113,1.20372,0.000438703,0.000438703,0.000438703
72,2387.16,0.79536,0.48669,1.00366,0.86541,0.81296,0.8639,0.633,1.13122,0.68887,1.20095,0.000424556,0.000424556,0.000424556
73,2419.86,0.78919,0.48533,1.00294,0.87024,0.81878,0.8658,0.63382,1.12772,0.68006,1.20047,0.000410409,0.000410409,0.000410409
74,2452.69,0.79335,0.48118,0.99946,0.86054,0.8298,0.86801,0.63494,1.12377,0.68472,1.19678,0.000396262,0.000396262,0.000396262
75,2485.38,0.78067,0.47807,0.99855,0.85205,0.83256,0.86185,0.63336,1.11755,0.68871,1.19521,0.000382115,0.000382115,0.000382115
76,2518.08,0.77695,0.47381,0.99552,0.85925,0.82469,0.86443,0.63513,1.12137,0.68566,1.1978,0.000367967,0.000367967,0.000367967
77,2550.65,0.77492,0.47546,0.99753,0.86557,0.81386,0.86378,0.63542,1.12311,0.68533,1.20416,0.00035382,0.00035382,0.00035382
78,2583.33,0.76248,0.4689,0.99112,0.8786,0.82097,0.8723,0.64284,1.11374,0.66905,1.19729,0.000339673,0.000339673,0.000339673
79,2615.97,0.75911,0.46373,0.98622,0.85897,0.83265,0.87165,0.64363,1.11056,0.65901,1.19647,0.000325526,0.000325526,0.000325526
80,2648.83,0.75594,0.46155,0.98706,0.84411,0.83345,0.8655,0.63816,1.11557,0.68518,1.20638,0.000311379,0.000311379,0.000311379
81,2681.62,0.75157,0.46274,0.98718,0.84254,0.84098,0.86552,0.63876,1.10327,0.67772,1.20218,0.000297232,0.000297232,0.000297232
82,2714.33,0.75059,0.46054,0.98636,0.85791,0.8335,0.86755,0.64138,1.10564,0.68541,1.19224,0.000283085,0.000283085,0.000283085
83,2747.01,0.74724,0.45836,0.98356,0.85691,0.83014,0.86667,0.64147,1.10565,0.68878,1.19352,0.000268938,0.000268938,0.000268938
84,2779.65,0.74147,0.45537,0.98094,0.86071,0.82892,0.86812,0.64278,1.10634,0.67708,1.19734,0.000254791,0.000254791,0.000254791
85,2812.57,0.73563,0.45208,0.97986,0.86576,0.82999,0.86631,0.63983,1.09916,0.68377,1.19134,0.000240644,0.000240644,0.000240644
86,2845.22,0.7304,0.4479,0.9802,0.85634,0.83395,0.86517,0.64024,1.10676,0.69213,1.19298,0.000226497,0.000226497,0.000226497
87,2877.97,0.72698,0.44605,0.97587,0.85205,0.84619,0.87034,0.64494,1.09501,0.67221,1.19037,0.000212349,0.000212349,0.000212349
88,2910.59,0.72899,0.44371,0.97636,0.85128,0.84499,0.87022,0.64529,1.10502,0.66937,1.19818,0.000198202,0.000198202,0.000198202
89,2943.46,0.7161,0.43788,0.97224,0.86281,0.83503,0.86966,0.64449,1.10499,0.66744,1.19489,0.000184055,0.000184055,0.000184055
90,2976.29,0.71761,0.43987,0.97471,0.86459,0.8383,0.87041,0.64582,1.09957,0.6712,1.19451,0.000169908,0.000169908,0.000169908
91,3014.28,0.66939,0.36162,0.94125,0.85253,0.84578,0.86928,0.64595,1.09772,0.65923,1.1948,0.000155761,0.000155761,0.000155761
92,3046.86,0.63616,0.34713,0.92944,0.86499,0.83377,0.86758,0.64668,1.08861,0.66541,1.19296,0.000141614,0.000141614,0.000141614
93,3079.49,0.62872,0.34219,0.92679,0.85332,0.83921,0.86713,0.64528,1.09826,0.67144,1.20202,0.000127467,0.000127467,0.000127467
94,3111.93,0.61641,0.33808,0.92126,0.85145,0.84015,0.86784,0.64551,1.09674,0.66817,1.19979,0.00011332,0.00011332,0.00011332
95,3144.38,0.61113,0.33383,0.92123,0.86211,0.83955,0.87147,0.64546,1.103,0.66649,1.20737,9.91726e-05,9.91726e-05,9.91726e-05
96,3176.69,0.60522,0.33193,0.91726,0.86202,0.8355,0.86841,0.64817,1.09449,0.66975,1.20246,8.50255e-05,8.50255e-05,8.50255e-05
97,3209.32,0.60132,0.32843,0.91517,0.85941,0.83791,0.86786,0.64612,1.09961,0.67524,1.20851,7.08784e-05,7.08784e-05,7.08784e-05
98,3241.77,0.59858,0.32782,0.91383,0.8632,0.83541,0.8673,0.64595,1.09869,0.67177,1.20986,5.67313e-05,5.67313e-05,5.67313e-05
99,3274.32,0.59139,0.32525,0.91204,0.85683,0.83615,0.86679,0.64546,1.0958,0.66978,1.2113,4.25842e-05,4.25842e-05,4.25842e-05
100,3306.79,0.58182,0.32144,0.91003,0.85971,0.83676,0.86755,0.64519,1.09393,0.67099,1.20976,2.84371e-05,2.84371e-05,2.84371e-05
