epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.5179,1.92937,2.8254,1.72258,0.45205,0.56153,0.41909,0.21899,1.62206,1.71728,1.43699,0.0672773,0.000330532,0.000330532
2,85.5343,1.63133,1.58214,1.46286,0.63021,0.65364,0.63805,0.36759,1.45495,1.22031,1.31743,0.0342642,0.000650721,0.000650721
3,126.428,1.51767,1.28894,1.37082,0.7085,0.68681,0.72472,0.4242,1.44084,1.07059,1.28189,0.00123782,0.00095771,0.00095771
4,167.474,1.43408,1.13477,1.31276,0.76595,0.69899,0.76081,0.45173,1.37774,0.99318,1.24276,0.0009406,0.0009406,0.0009406
5,208.535,1.36473,1.03953,1.27912,0.78039,0.74165,0.79837,0.49772,1.31633,0.90861,1.2201,0.0009208,0.0009208,0.0009208
6,249.605,1.31214,0.95989,1.24554,0.79636,0.73797,0.80516,0.50193,1.29993,0.86513,1.2189,0.000901,0.000901,0.000901
7,290.604,1.26861,0.91819,1.22419,0.82884,0.74088,0.82098,0.50927,1.27899,0.84983,1.20555,0.0008812,0.0008812,0.0008812
8,331.583,1.2425,0.88753,1.21097,0.83062,0.75543,0.83268,0.53354,1.24619,0.81646,1.18198,0.0008614,0.0008614,0.0008614
9,372.534,1.21344,0.8471,1.19401,0.81296,0.77737,0.83195,0.52929,1.25272,0.81688,1.18885,0.0008416,0.0008416,0.0008416
10,413.335,1.18681,0.825,1.18101,0.8208,0.77181,0.83365,0.53854,1.2149,0.80463,1.17891,0.0008218,0.0008218,0.0008218
11,454.2,1.16674,0.79946,1.17618,0.81556,0.7728,0.82879,0.53925,1.22185,0.79799,1.18616,0.000802,0.000802,0.000802
12,495.168,1.14317,0.77775,1.16362,0.83881,0.77139,0.83583,0.53974,1.24065,0.79309,1.17803,0.0007822,0.0007822,0.0007822
13,536.06,1.13912,0.7626,1.15407,0.83314,0.78959,0.8483,0.55223,1.22935,0.7734,1.18704,0.0007624,0.0007624,0.0007624
14,576.938,1.12526,0.75015,1.15229,0.84074,0.77805,0.84573,0.54515,1.22975,0.77955,1.18073,0.0007426,0.0007426,0.0007426
15,617.802,1.10821,0.73173,1.14152,0.8542,0.77068,0.84469,0.55623,1.21165,0.77023,1.16932,0.0007228,0.0007228,0.0007228
16,658.733,1.1076,0.73167,1.14006,0.83899,0.79802,0.8602,0.56329,1.20858,0.74363,1.16991,0.000703,0.000703,0.000703
17,699.579,1.09045,0.70941,1.12951,0.86543,0.7771,0.85279,0.56343,1.19836,0.75475,1.17295,0.0006832,0.0006832,0.0006832
18,740.624,1.08295,0.70853,1.12797,0.85569,0.79351,0.85708,0.56928,1.1857,0.73364,1.16395,0.0006634,0.0006634,0.0006634
19,781.584,1.06693,0.69282,1.11834,0.85691,0.78688,0.85504,0.56167,1.21141,0.74255,1.17304,0.0006436,0.0006436,0.0006436
20,822.359,1.05124,0.67842,1.1101,0.8553,0.80134,0.86341,0.57533,1.19248,0.72515,1.17368,0.0006238,0.0006238,0.0006238
21,863.299,1.04731,0.67232,1.11106,0.8466,0.79639,0.85092,0.56404,1.21134,0.74143,1.17089,0.000604,0.000604,0.000604
22,904.15,1.04329,0.66728,1.10973,0.86746,0.79816,0.86688,0.58531,1.16901,0.70919,1.16007,0.0005842,0.0005842,0.0005842
23,945.095,1.02453,0.65625,1.10114,0.84908,0.80867,0.86208,0.56833,1.19977,0.72021,1.16386,0.0005644,0.0005644,0.0005644
24,985.957,1.02733,0.65681,1.1033,0.85513,0.80769,0.86978,0.58056,1.17516,0.71356,1.15071,0.0005446,0.0005446,0.0005446
25,1026.74,1.00379,0.63772,1.09098,0.8525,0.80701,0.86631,0.58253,1.16652,0.70554,1.15861,0.0005248,0.0005248,0.0005248
26,1067.6,1.01008,0.63721,1.09202,0.85164,0.82553,0.87075,0.59152,1.13753,0.70012,1.13838,0.000505,0.000505,0.000505
27,1108.58,1.00419,0.63622,1.08668,0.84721,0.82283,0.86706,0.58605,1.14596,0.70174,1.14653,0.0004852,0.0004852,0.0004852
28,1149.31,0.98833,0.6227,1.08063,0.87039,0.80378,0.86471,0.57852,1.17674,0.70097,1.1576,0.0004654,0.0004654,0.0004654
29,1190.14,0.98886,0.62265,1.07875,0.86681,0.8229,0.86979,0.59023,1.14377,0.69356,1.13973,0.0004456,0.0004456,0.0004456
30,1230.99,0.97695,0.61163,1.07811,0.85896,0.81888,0.87192,0.59361,1.13485,0.68736,1.13492,0.0004258,0.0004258,0.0004258
31,1271.87,0.97523,0.60858,1.07362,0.85642,0.8241,0.86969,0.59085,1.15286,0.6901,1.14121,0.000406,0.000406,0.000406
32,1312.71,0.96165,0.59994,1.06965,0.8628,0.81767,0.86991,0.59043,1.14945,0.68612,1.14357,0.0003862,0.0003862,0.0003862
33,1353.52,0.96188,0.6012,1.06957,0.85585,0.82862,0.86828,0.587,1.1601,0.69251,1.15171,0.0003664,0.0003664,0.0003664
34,1394.37,0.95821,0.59903,1.06498,0.85698,0.82522,0.87234,0.59601,1.13639,0.68282,1.13845,0.0003466,0.0003466,0.0003466
35,1435.29,0.95186,0.5933,1.066,0.86103,0.81589,0.86902,0.58762,1.16051,0.70017,1.1461,0.0003268,0.0003268,0.0003268
36,1476.09,0.95119,0.58892,1.06549,0.87487,0.81289,0.87671,0.59435,1.14313,0.68695,1.14179,0.000307,0.000307,0.000307
37,1516.88,0.93835,0.58243,1.0609,0.86706,0.82003,0.87381,0.59702,1.14416,0.68926,1.14485,0.0002872,0.0002872,0.0002872
38,1557.78,0.93336,0.57806,1.05411,0.87093,0.81461,0.87232,0.59317,1.15952,0.68954,1.14654,0.0002674,0.0002674,0.0002674
39,1598.63,0.93534,0.57763,1.05895,0.87708,0.80334,0.87289,0.59242,1.15542,0.68844,1.14911,0.0002476,0.0002476,0.0002476
40,1639.39,0.92016,0.56987,1.0502,0.87154,0.80894,0.8707,0.5958,1.14653,0.6924,1.14577,0.0002278,0.0002278,0.0002278
41,1682.99,0.87554,0.47477,1.02643,0.85064,0.82152,0.86678,0.58827,1.15062,0.69671,1.14747,0.000208,0.000208,0.000208
42,1723.66,0.85515,0.45211,1.01095,0.85715,0.81728,0.86791,0.58925,1.15633,0.68783,1.15505,0.0001882,0.0001882,0.0001882
43,1764.34,0.84328,0.44686,1.00848,0.85872,0.812,0.86777,0.59397,1.14649,0.68541,1.15356,0.0001684,0.0001684,0.0001684
44,1804.98,0.83423,0.44346,1.00399,0.86262,0.81363,0.86775,0.59011,1.15536,0.68881,1.15292,0.0001486,0.0001486,0.0001486
45,1845.6,0.82243,0.43686,0.99622,0.86019,0.81978,0.86847,0.59926,1.12886,0.68126,1.14187,0.0001288,0.0001288,0.0001288
46,1886.31,0.8202,0.43759,0.99709,0.86971,0.81036,0.86611,0.59445,1.14343,0.68804,1.15221,0.000109,0.000109,0.000109
47,1926.95,0.80839,0.42858,0.99433,0.86465,0.81422,0.86686,0.5951,1.13968,0.68424,1.14978,8.92e-05,8.92e-05,8.92e-05
48,1967.58,0.81339,0.4305,0.99512,0.86755,0.81494,0.8663,0.59607,1.13635,0.68395,1.14565,6.94e-05,6.94e-05,6.94e-05
49,2008.26,0.80552,0.42863,0.99139,0.86803,0.81275,0.86652,0.59641,1.13556,0.68429,1.14967,4.96e-05,4.96e-05,4.96e-05
50,2048.87,0.7995,0.42573,0.99034,0.86843,0.81122,0.86718,0.59582,1.13863,0.6842,1.1505,2.98e-05,2.98e-05,2.98e-05
