epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.3736,1.85031,2.55004,1.67675,0.4514,0.58117,0.49078,0.26367,1.55637,1.68016,1.408,0.0672773,0.000330532,0.000330532
2,93.8996,1.58559,1.48026,1.43066,0.66107,0.65577,0.6772,0.39207,1.4028,1.16654,1.27767,0.0342642,0.000650721,0.000650721
3,138.406,1.47856,1.20405,1.33315,0.73163,0.68957,0.73239,0.43725,1.37188,1.04322,1.24252,0.00123782,0.00095771,0.00095771
4,182.889,1.37327,1.06539,1.27579,0.76509,0.71645,0.77343,0.48105,1.28738,0.92184,1.19902,0.0009406,0.0009406,0.0009406
5,227.312,1.30161,0.9758,1.24676,0.79444,0.73842,0.80237,0.51283,1.24534,0.88009,1.18363,0.0009208,0.0009208,0.0009208
6,271.821,1.25525,0.90534,1.21401,0.82147,0.7592,0.83042,0.53889,1.20667,0.81557,1.15744,0.000901,0.000901,0.000901
7,316.22,1.21434,0.86319,1.19568,0.83241,0.76216,0.83394,0.54875,1.1926,0.79473,1.1609,0.0008812,0.0008812,0.0008812
8,360.734,1.19536,0.84039,1.18377,0.84773,0.75984,0.84394,0.56309,1.17558,0.76252,1.14258,0.0008614,0.0008614,0.0008614
9,405.064,1.16595,0.80309,1.16765,0.83315,0.78177,0.84626,0.56247,1.17218,0.76618,1.14671,0.0008416,0.0008416,0.0008416
10,449.354,1.14544,0.78207,1.15723,0.8513,0.78091,0.84752,0.5686,1.16013,0.75366,1.14918,0.0008218,0.0008218,0.0008218
11,493.693,1.12385,0.75686,1.15129,0.83304,0.77331,0.83584,0.56528,1.13895,0.77309,1.12758,0.000802,0.000802,0.000802
12,538.041,1.09682,0.73938,1.1327,0.83291,0.78432,0.84776,0.56718,1.16599,0.75005,1.14035,0.0007822,0.0007822,0.0007822
13,582.392,1.09728,0.71994,1.12887,0.83301,0.80103,0.85362,0.57433,1.15522,0.73955,1.14223,0.0007624,0.0007624,0.0007624
14,626.798,1.08557,0.70965,1.12416,0.84083,0.80142,0.86107,0.57789,1.14253,0.73176,1.13168,0.0007426,0.0007426,0.0007426
15,671.153,1.0674,0.69471,1.11737,0.84462,0.79604,0.85766,0.58494,1.1285,0.70538,1.13023,0.0007228,0.0007228,0.0007228
16,715.614,1.06806,0.69454,1.11754,0.84813,0.80487,0.85948,0.58251,1.15741,0.71926,1.13746,0.000703,0.000703,0.000703
17,759.971,1.05137,0.67331,1.10528,0.84764,0.79485,0.85783,0.58095,1.1437,0.72726,1.13492,0.0006832,0.0006832,0.0006832
18,804.41,1.04715,0.66963,1.10396,0.86104,0.79817,0.86377,0.57562,1.18893,0.71939,1.15142,0.0006634,0.0006634,0.0006634
19,848.736,1.0273,0.65617,1.09322,0.8608,0.81478,0.87407,0.5938,1.1372,0.68543,1.12865,0.0006436,0.0006436,0.0006436
20,893.245,1.01358,0.63952,1.08784,0.85206,0.81276,0.8691,0.59268,1.13709,0.70404,1.1247,0.0006238,0.0006238,0.0006238
21,937.625,1.00664,0.6363,1.08567,0.85076,0.81179,0.8655,0.59432,1.13557,0.69989,1.12958,0.000604,0.000604,0.000604
22,982.094,1.00374,0.63071,1.08176,0.85965,0.83455,0.88127,0.60915,1.10944,0.66987,1.11898,0.0005842,0.0005842,0.0005842
23,1026.44,0.98459,0.61713,1.0732,0.84433,0.82028,0.86968,0.59795,1.12087,0.68242,1.12944,0.0005644,0.0005644,0.0005644
24,1070.94,0.99058,0.61904,1.07771,0.86628,0.79983,0.86603,0.59106,1.13621,0.70202,1.12918,0.0005446,0.0005446,0.0005446
25,1115.28,0.96267,0.60047,1.06483,0.86032,0.80667,0.86825,0.59422,1.14521,0.67771,1.13363,0.0005248,0.0005248,0.0005248
26,1159.78,0.96584,0.5949,1.06391,0.84394,0.81304,0.87329,0.60618,1.10849,0.68109,1.12059,0.000505,0.000505,0.000505
27,1204.1,0.96146,0.59738,1.06144,0.857,0.81344,0.87528,0.60732,1.10668,0.66099,1.12848,0.0004852,0.0004852,0.0004852
28,1248.44,0.94609,0.58433,1.05834,0.8371,0.82272,0.87559,0.60338,1.10832,0.66979,1.11792,0.0004654,0.0004654,0.0004654
29,1292.73,0.94723,0.58034,1.05526,0.87419,0.80709,0.87387,0.60715,1.10709,0.66844,1.12608,0.0004456,0.0004456,0.0004456
30,1337.1,0.93189,0.57126,1.05285,0.86509,0.80925,0.87479,0.61224,1.10741,0.66402,1.12202,0.0004258,0.0004258,0.0004258
31,1381.46,0.93309,0.57117,1.04871,0.85496,0.8189,0.8723,0.60554,1.10843,0.67623,1.1187,0.000406,0.000406,0.000406
32,1425.91,0.91878,0.56202,1.04507,0.87,0.82461,0.8752,0.60855,1.10917,0.66782,1.12076,0.0003862,0.0003862,0.0003862
33,1470.23,0.91399,0.56039,1.04147,0.86638,0.81148,0.86823,0.60212,1.11023,0.68562,1.13203,0.0003664,0.0003664,0.0003664
34,1514.57,0.90955,0.55777,1.03994,0.84782,0.82583,0.87408,0.60526,1.12147,0.67943,1.13417,0.0003466,0.0003466,0.0003466
35,1558.84,0.90537,0.55489,1.04034,0.84952,0.82903,0.87441,0.6117,1.09508,0.66265,1.12296,0.0003268,0.0003268,0.0003268
36,1603.32,0.90274,0.54809,1.0362,0.84927,0.8305,0.87621,0.60901,1.10907,0.65811,1.12537,0.000307,0.000307,0.000307
37,1647.55,0.88974,0.54057,1.03242,0.87169,0.81269,0.87301,0.61114,1.10417,0.65627,1.12509,0.0002872,0.0002872,0.0002872
38,1691.92,0.88298,0.5356,1.02455,0.85767,0.82894,0.87585,0.6127,1.09453,0.65727,1.12094,0.0002674,0.0002674,0.0002674
39,1736.27,0.88312,0.5329,1.02951,0.8637,0.82127,0.87799,0.61321,1.09757,0.66122,1.12146,0.0002476,0.0002476,0.0002476
40,1780.76,0.86716,0.52495,1.02105,0.86749,0.8219,0.87726,0.61461,1.09392,0.66059,1.12281,0.0002278,0.0002278,0.0002278
41,1827.54,0.82664,0.43023,0.99706,0.86176,0.82454,0.87658,0.61077,1.109,0.6618,1.12957,0.000208,0.000208,0.000208
42,1871.84,0.80254,0.41712,0.97972,0.87459,0.81824,0.87565,0.61492,1.09594,0.65647,1.12506,0.0001882,0.0001882,0.0001882
43,1916.06,0.79267,0.41088,0.97721,0.8717,0.81665,0.87504,0.61652,1.08897,0.66442,1.11869,0.0001684,0.0001684,0.0001684
44,1960.33,0.78017,0.40724,0.97443,0.85363,0.83322,0.87304,0.61778,1.08737,0.66412,1.12639,0.0001486,0.0001486,0.0001486
45,2004.54,0.76916,0.40208,0.96847,0.85315,0.83687,0.87702,0.62197,1.08563,0.65565,1.12691,0.0001288,0.0001288,0.0001288
46,2048.81,0.76493,0.39907,0.96751,0.8688,0.82032,0.87655,0.61799,1.09634,0.65794,1.13176,0.000109,0.000109,0.000109
47,2092.97,0.75427,0.39083,0.96392,0.86161,0.82526,0.87646,0.61903,1.09642,0.65921,1.13469,8.92e-05,8.92e-05,8.92e-05
48,2137.31,0.75578,0.39353,0.96248,0.86845,0.82567,0.87625,0.6182,1.09534,0.66153,1.13011,6.94e-05,6.94e-05,6.94e-05
49,2181.48,0.74464,0.38846,0.95862,0.86213,0.82443,0.87526,0.61941,1.09279,0.65731,1.13141,4.96e-05,4.96e-05,4.96e-05
50,2225.76,0.7392,0.38518,0.95689,0.87,0.82215,0.87514,0.61993,1.09075,0.65859,1.12947,2.98e-05,2.98e-05,2.98e-05
