epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.0494,3.94396,4.97585,3.41866,1e-05,0.00077,0,0,9.03953,396206,300.189,0.0702521,0.00330532,0.00330532
2,124.972,3.9702,4.6917,3.4883,0.06309,0.08723,0.03084,0.01072,5.46928,31.8152,5.71699,0.0401207,0.00650721,0.00650721
3,182.919,3.83895,4.37306,3.41072,0.15439,0.23959,0.12288,0.04455,4.79472,19.4601,4.3986,0.00985721,0.0095771,0.0095771
4,240.899,3.6966,3.99953,3.2791,0.22109,0.26687,0.16708,0.04834,5.1489,11.7898,4.55958,0.009406,0.009406,0.009406
5,298.77,3.57485,3.70436,3.2011,0.33449,0.37066,0.25575,0.11396,3.98381,5.83947,3.66142,0.009208,0.009208,0.009208
6,356.706,3.44625,3.40574,3.09189,0.5188,0.48909,0.47052,0.21067,3.76687,4.02313,3.39537,0.00901,0.00901,0.00901
7,414.71,3.3436,3.23045,3.04407,0.58144,0.51385,0.53442,0.26379,3.56396,3.28983,3.17868,0.008812,0.008812,0.008812
8,472.675,3.29439,3.0966,2.99323,0.5613,0.49361,0.48463,0.23544,3.63503,3.67203,3.33951,0.008614,0.008614,0.008614
9,530.624,3.21781,2.92781,2.95179,0.61771,0.5312,0.5619,0.27652,3.62244,3.23946,3.23465,0.008416,0.008416,0.008416
10,588.568,3.15549,2.81633,2.89739,0.62372,0.57775,0.59542,0.31794,3.29206,2.84882,3.08497,0.008218,0.008218,0.008218
11,646.558,3.09315,2.68836,2.87242,0.61928,0.57195,0.58504,0.29928,3.35231,3.27764,3.09798,0.00802,0.00802,0.00802
12,704.319,3.0295,2.62965,2.83827,0.58309,0.50478,0.52339,0.27445,3.3864,3.59018,3.19407,0.007822,0.007822,0.007822
13,762.247,2.98889,2.52521,2.80582,0.6953,0.58577,0.64453,0.36621,3.09314,2.66831,2.93843,0.007624,0.007624,0.007624
14,820.2,2.96279,2.46937,2.78053,0.6886,0.60128,0.65651,0.36292,3.17372,2.74,3.00164,0.007426,0.007426,0.007426
15,878.066,2.88922,2.3541,2.74271,0.74317,0.65081,0.7137,0.42589,2.89609,2.24537,2.7845,0.007228,0.007228,0.007228
16,935.864,2.88966,2.34328,2.73114,0.73324,0.67246,0.72546,0.43645,2.92767,2.18356,2.82014,0.00703,0.00703,0.00703
17,993.763,2.81557,2.21351,2.68569,0.69914,0.66349,0.7047,0.4096,3.00783,2.5604,2.91461,0.006832,0.006832,0.006832
18,1051.76,2.80565,2.2135,2.68469,0.74442,0.71105,0.75884,0.4478,2.89873,2.0426,2.78999,0.006634,0.006634,0.006634
19,1109.71,2.73139,2.12995,2.64245,0.74495,0.71057,0.7604,0.45803,2.81077,1.9913,2.724,0.006436,0.006436,0.006436
20,1167.57,2.69715,2.07072,2.62311,0.76162,0.68845,0.7489,0.44177,2.84099,2.06984,2.77755,0.006238,0.006238,0.006238
21,1225.31,2.67163,2.02938,2.60747,0.75183,0.68296,0.73993,0.44733,2.87901,2.14516,2.80655,0.00604,0.00604,0.00604
22,1283.23,2.67478,1.99683,2.59693,0.80493,0.70069,0.78866,0.48527,2.75918,1.91524,2.71102,0.005842,0.005842,0.005842
23,1341.02,2.61174,1.93951,2.56812,0.79732,0.72133,0.77924,0.48044,2.77138,1.96435,2.71221,0.005644,0.005644,0.005644
24,1398.87,2.60546,1.92582,2.56529,0.78174,0.72112,0.78833,0.49612,2.74225,1.86716,2.71377,0.005446,0.005446,0.005446
25,1456.75,2.51432,1.82764,2.52256,0.80116,0.71258,0.79091,0.49756,2.681,1.81852,2.6679,0.005248,0.005248,0.005248
26,1514.72,2.54324,1.83401,2.53036,0.7915,0.73004,0.79934,0.50272,2.71399,1.82054,2.69746,0.00505,0.00505,0.00505
27,1572.68,2.50237,1.79489,2.50126,0.77829,0.73315,0.79266,0.49993,2.67378,1.84428,2.66267,0.004852,0.004852,0.004852
28,1630.4,2.47048,1.75155,2.48855,0.81103,0.72867,0.79947,0.50704,2.71303,1.79696,2.69611,0.004654,0.004654,0.004654
