epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.1182,1.73539,2.01904,1.54841,0.60916,0.66745,0.66758,0.37626,1.47427,1.19523,1.30597,0.0702521,0.00330532,0.00330532
2,86.2066,1.49821,1.26972,1.35774,0.68215,0.64465,0.68708,0.37983,1.50987,1.26264,1.36868,0.0401207,0.00650721,0.00650721
3,127.273,1.51267,1.25696,1.374,0.61894,0.47876,0.48698,0.23498,1.8081,1.97397,1.58299,0.00985721,0.0095771,0.0095771
4,168.319,1.56077,1.33334,1.41299,0.64378,0.53378,0.57165,0.30068,1.73167,1.7216,1.54128,0.009406,0.009406,0.009406
5,209.246,1.51553,1.25226,1.3889,0.70132,0.56726,0.61664,0.33751,1.6021,1.51073,1.4606,0.009208,0.009208,0.009208
6,250.095,1.45972,1.15698,1.3497,0.66261,0.55865,0.5995,0.3288,1.61131,1.51145,1.47487,0.00901,0.00901,0.00901
7,291.033,1.41551,1.10689,1.32879,0.72524,0.65163,0.6918,0.39936,1.48314,1.16815,1.38879,0.008812,0.008812,0.008812
8,331.897,1.38309,1.06095,1.30552,0.77003,0.67589,0.74546,0.43782,1.44216,1.09912,1.33522,0.008614,0.008614,0.008614
9,372.812,1.34739,1.00703,1.28858,0.78669,0.68788,0.76319,0.459,1.39472,1.01535,1.31504,0.008416,0.008416,0.008416
10,413.721,1.32014,0.97998,1.26967,0.75288,0.68944,0.74624,0.44673,1.39827,1.08926,1.30282,0.008218,0.008218,0.008218
11,454.609,1.28493,0.93963,1.25118,0.78905,0.72753,0.79162,0.49335,1.34593,0.95574,1.30223,0.00802,0.00802,0.00802
12,495.529,1.25987,0.90935,1.23928,0.80206,0.73549,0.80016,0.4918,1.3544,0.92508,1.2899,0.007822,0.007822,0.007822
13,536.519,1.24984,0.88757,1.22878,0.82289,0.71547,0.79845,0.48724,1.34782,0.94968,1.28004,0.007624,0.007624,0.007624
