epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.5456,1.65848,1.73941,1.63434,0.50066,0.47255,0.45889,0.19652,1.99933,2.16261,1.94229,0.0672773,0.000330532,0.000330532
2,143.726,1.58497,1.4419,1.60687,0.54407,0.46552,0.46951,0.22134,1.81234,2.15947,1.83565,0.0342642,0.000650721,0.000650721
3,213.768,1.58566,1.4074,1.61312,0.66106,0.44591,0.49421,0.24149,1.7972,1.99424,1.86438,0.00123782,0.00095771,0.00095771
4,283.912,1.56277,1.36314,1.60261,0.57549,0.49574,0.47889,0.25881,1.65475,2.05962,1.76491,0.0009406,0.0009406,0.0009406
5,353.76,1.4956,1.25802,1.56217,0.67331,0.59448,0.6306,0.33514,1.67358,1.35454,1.70792,0.0009208,0.0009208,0.0009208
6,423.723,1.44065,1.16717,1.514,0.71597,0.63266,0.69476,0.40161,1.46604,1.21804,1.54786,0.000901,0.000901,0.000901
7,493.693,1.40208,1.1252,1.49603,0.69054,0.61789,0.6335,0.36412,1.52108,1.32236,1.6026,0.0008812,0.0008812,0.0008812
8,563.591,1.37321,1.06831,1.46536,0.76214,0.69247,0.73596,0.42646,1.505,1.11409,1.59424,0.0008614,0.0008614,0.0008614
9,633.501,1.34015,1.01261,1.44786,0.7557,0.69252,0.75566,0.44195,1.46129,1.04591,1.53576,0.0008416,0.0008416,0.0008416
10,703.524,1.31256,0.98598,1.43123,0.75875,0.73735,0.7686,0.46103,1.39099,0.98637,1.49928,0.0008218,0.0008218,0.0008218
11,773.453,1.28739,0.94861,1.41371,0.795,0.72187,0.78418,0.48205,1.35034,0.9536,1.48222,0.000802,0.000802,0.000802
12,843.492,1.26246,0.91769,1.3989,0.7777,0.729,0.78121,0.48904,1.3306,0.96305,1.47125,0.0007822,0.0007822,0.0007822
13,913.38,1.25409,0.90397,1.39327,0.76702,0.73277,0.78559,0.48922,1.32998,0.94946,1.46379,0.0007624,0.0007624,0.0007624
14,983.282,1.23523,0.88242,1.38063,0.81518,0.73893,0.80677,0.50831,1.29466,0.88809,1.44994,0.0007426,0.0007426,0.0007426
15,1053.3,1.21272,0.85828,1.3673,0.82271,0.76752,0.82554,0.5298,1.25726,0.85364,1.41308,0.0007228,0.0007228,0.0007228
16,1123.2,1.21596,0.84987,1.36632,0.8156,0.76528,0.82182,0.52897,1.25193,0.83909,1.42598,0.000703,0.000703,0.000703
17,1192.97,1.18863,0.82012,1.344,0.81295,0.73871,0.80814,0.51811,1.29225,0.89506,1.42545,0.0006832,0.0006832,0.0006832
18,1262.92,1.17677,0.82157,1.33899,0.79704,0.7483,0.80471,0.51332,1.25866,0.86468,1.42013,0.0006634,0.0006634,0.0006634
19,1332.71,1.15179,0.78944,1.32276,0.81693,0.78911,0.84508,0.55351,1.20654,0.80597,1.36864,0.0006436,0.0006436,0.0006436
20,1402.73,1.132,0.76649,1.30994,0.82921,0.77073,0.83559,0.52834,1.29133,0.8165,1.41633,0.0006238,0.0006238,0.0006238
21,1472.46,1.12593,0.75679,1.30724,0.84557,0.7822,0.84799,0.55946,1.2022,0.79303,1.37218,0.000604,0.000604,0.000604
22,1542.53,1.1205,0.75058,1.29534,0.85217,0.78262,0.84761,0.55772,1.19981,0.75881,1.37632,0.0005842,0.0005842,0.0005842
23,1612.27,1.09543,0.73273,1.28152,0.83926,0.7723,0.83614,0.55059,1.2103,0.78475,1.38991,0.0005644,0.0005644,0.0005644
24,1682.15,1.1047,0.72706,1.29,0.83545,0.77741,0.84072,0.55314,1.18969,0.78887,1.37163,0.0005446,0.0005446,0.0005446
25,1752.18,1.07204,0.70023,1.27009,0.84566,0.79217,0.85412,0.56419,1.18578,0.75826,1.3597,0.0005248,0.0005248,0.0005248
26,1822.02,1.0814,0.70669,1.27097,0.83862,0.80987,0.86192,0.57456,1.1741,0.72567,1.36292,0.000505,0.000505,0.000505
27,1891.99,1.05982,0.68963,1.25644,0.84311,0.78817,0.85067,0.57297,1.17,0.74108,1.37457,0.0004852,0.0004852,0.0004852
28,1961.73,1.04478,0.67456,1.25261,0.85315,0.7932,0.86394,0.57775,1.18063,0.72577,1.35905,0.0004654,0.0004654,0.0004654
29,2031.56,1.03175,0.66139,1.24149,0.84586,0.80532,0.86082,0.58198,1.15931,0.71098,1.35482,0.0004456,0.0004456,0.0004456
30,2101.37,1.01981,0.65438,1.23741,0.84512,0.80873,0.86462,0.57711,1.16537,0.71454,1.35636,0.0004258,0.0004258,0.0004258
31,2171.18,1.01864,0.64829,1.23192,0.83702,0.80466,0.86012,0.58283,1.14028,0.7065,1.33784,0.000406,0.000406,0.000406
32,2241.03,0.99902,0.63266,1.22312,0.83743,0.81129,0.86298,0.58471,1.14465,0.71515,1.35091,0.0003862,0.0003862,0.0003862
33,2310.95,0.99646,0.62785,1.22024,0.86565,0.78974,0.86874,0.59292,1.13048,0.6848,1.33177,0.0003664,0.0003664,0.0003664
